source,product,metrics,campaign,ad_name,adset_name,date,actual,forecast,baseline
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-06-01,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-06-02,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-06-03,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-06-04,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-06-05,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-06-06,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-06-07,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-06-08,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-06-09,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-06-10,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-06-11,,0.0,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-20,,2391.1070963078923,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-21,,2396.8080678540973,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-22,,1793.3376930226982,
